,Наименование,Город,ИНН,Благонадежный (да/нет)
0,"Благотворительный фонд социальной поддержки населения ""Вместе""",Благовещенск РБ,224950320.0,да
1,Благотворительный фонд помощи тяжело больным детям «Особенные дети»,Уфа,272902492.0,да
2,"Автономная некоммерческая медицинская организация ""Уфимский хоспис""",Уфа,274950766.0,да
3,"Детский Благотворительный Фонд ""С Любовью""",Уфа,274990342.0,да
4,"Благотворительный фонд помощи тяжелобольным детям ""Потерь нет""",Уфа,276980491.0,да
5,"Благотворительный Фонд экологического просвещения, социальной поддержки населения, развития народных ремесел и декоративно-прикладного творчества ""Твердая почва""","г. Уфа , Республика Башкортостан",277921731.0,да
6,"Благотворительный фонд ""Благо Дари""",Гатчина,326544905.0,да
7,"Благотворительный фонд ""Надежда""","Москва, Махачкала, Лондон",571000615.0,да
8,"Благотворительный фонд содействия образовательным, культурным и социальным проектам ""Село""",Москва,573006884.0,да
9,"Некоммерческая организация благотворительный фонд ""Мял""",Магас,608012458.0,да
10,"Карельская региональная общественная организация защиты животных ""Первый приют""",Петрозаводск,1001106971.0,да
11,"Карельская региональная общественная организация помощи лицам, страдающим психическими расстройствами, их родственников и специалистов, работающих в сфере психического здоровья ""Преодоление""",Кондопога,1003103366.0,да
12,Фонд «Друзья»,Москва,7704314253.0,да
13,Добрая Марий Эл,Йошкар-Ола,1215072744.0,да
14,"Автономная некоммерческая организация гражданско-патриотического развития молодежи ""Подвиги""",Саранск,1326251467.0,да
15,"РОД ""Ресурсный центр социальных технологий Республики Саха (Якутия)""",Якутск,1435231598.0,да
16,"Автономная некоммерческая организация ""Центр содействия реализации социально-культурных и благотворительных проектов ""Филантроп""",Казань,1659182731.0,да
17,"АНО ""Центр организации спортивно-массовых мероприятий ""СПОРТ БУДУЩЕГО""",Казань,1660316309.0,да
18,Фонд Светланы Изамбаевой,Казань,1661023908.0,да
19,"Благотворительный фонд ""Подари ЗАВТРА!""",Ижевск,1831155301.0,да
20,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""СИЛЬНЫЕ ДЕТИ""",Чебоксары,2124042134.0,нет
21,"Чувашская региональная общественная организация содействия в решении социальных проблем семьи и человека ""МИР ДОБРА""",Чебоксары,2130996604.0,да
22,"ФОНД ПОМОЩИ МНОГОДЕТНЫМ И МАЛОИМУЩИМ СЕМЬЯМ, ДЕТЯМ-СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ И ЛЮДЯМ, ПОПАВШИМ В СЛОЖНУЮ ЖИЗНЕННУЮ СИТУАЦИЮ ""ОБЛАКА""",Барнаул,2222848892.0,да
23,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""АУРЕЯ""",УЯР,2440006230.0,нет
24,Красноярский Региональный Фонд «Красноярье без сирот»,Красноярск,2465117252.0,да
25,"Автономная некоммерческая организация ""Центр социально-психологической реабилитации онкологических больных и лиц групп риска ""ВМЕСТЕ ПРОТИВ РАКА""",Красноярск,2465117767.0,да
26,"Детский благотворительный фонд ""Счастливые дети""",Красноярск,2465310993.0,да
27,"Благотворительный фонд помощи детям ""Ренессанс""",Владивосток,2543155339.0,да
28,"Хабаровская краевая общественная организация замещающих семей ""Чужих детей не бывает""",Хабаровск,2721980663.0,да
29,"Некоммерческий благотворительный фонд помощи нуждающимся ""Взамен""",Архангельск,2901256749.0,да
30,"Автономная некоммерческая организация Центр социальной помощи ""Смысл есть""","Мирный, Архангельская область",2925006674.0,да
31,"Благотворительный фонд ""Стрелиция""",Юрьев-Польский,3314010256.0,да
32,"Автономная некоммерческая организация популяризации благотворительных проектов ""ЗаСпасибо""",Владимир,3327145779.0,да
33,"БФ ""Близкие люди""",Владимир,3328019897.0,да
34,Благотворительный фонд Елены Исинбаевой,Волгоград,3444409898.0,да
35,"Благотворительный фонд развития социально значимых инициатив ""Доброта на Волге""",Волгоград,3461061900.0,да
36,Благотворительный Фонд «Хорошие люди»,Вологда,3525285922.0,да
37,"Благотворительный фонд помощи детям ""Благо""",Воронеж,3662121002.0,да
38,"Иркутский областной общественный благотворительный фонд ""Семья Прибайкалья""",Иркутск,3808187926.0,да
39,"Ассоциация ""Защитим Байкал вместе""",Иркутск,3810052860.0,да
40,"Иркутская Региональная Экологическая Общественная Организация ""Мой Байкал""",Иркутск,3827050910.0,да
41,"Фонд поддержки людей с ограниченными возможностями ""Лабиринт 42""",Кемерово,4205357785.0,да
42,"Благотворительный фонд социальной поддержки и защиты детей, граждан и организаций в области медицины, образования, здорового образа жизни, а также попавших в трудную жизненную ситуацию «Счастье детям»",Кемерово,4205997009.0,да
43,"Костромской областной благотворительный фонд помощи детям и взрослым с особенностями развития (преимущественно с аутизмом) ""Открыть Мир""",Кострома,4401061865.0,да
44,"Благотворительный Фонд ""География Добра""",Кострома,4401165180.0,да
45,Автономная некоммерческая организация ««Центр систематизации материальных и духовных знаний «Наше Поветлужье»,Шарья Костромская область,4407999087.0,да
46,"Благотворительный Фонд ""Искорка надежды""",Курск,4632132633.0,да
47,"ФОНД ПОМОЩИ ДЕТЯМ И ЛЮДЯМ, ПОПАВШИМ В ТЯЖЕЛУЮ ЖИЗНЕННУЮ СИТУАЦИЮ ""ДОБРЫЙ ВЕТЕРОК""",Дмитров,5007109775.0,нет
48,Благотворительный фонд «Гольфстрим»,Москва,5017998033.0,да
49,"Межрегиональная благотворительная общественная организация ""Кожные и аллергические болезни""",Москва,5018998283.0,да
50,Межрегиональная общественная организация содействия помощи пациентам с нейрофиброматозом «22/17»,Москва,5029254800.0,да
51,"Благотворительный Фонд помощи животным ""Сень Сотен Крыльев""",Павловский Посад,5035038565.0,да
52,"Благотворительный фонд помощи животным ""Хвостатый рай""",Протвино,5043998456.0,да
53,"Детский реабилитационный центр ""Вдохновение""",Руза,5075012718.0,да
54,"Автономная некоммерческая организация ""Центр Проектного Развития""",Городец,5248042887.0,да
55,"Нижегородская региональная общественная организация содействия социальному развитию ""Служение-НЭКСТ""",Нижний Новгород,5258048599.0,да
56,"Автономная некоммерческая организация центр социальной помощи престарелым и инвалидам ""Дом Милосердия""",Новосибирск,5410071452.0,да
57,"Благотворительный фонд ""Сохраняя жизнь""",Оренбург,5610151810.0,да
58,"Автономная некоммерческая организация ""Диаконический Центр ""Прикосновение""",Оренбург,5612162920.0,да
59,"АНО ""Платформа образовательных проектов""",Пермь,5902051740.0,да
60,"Межрегиональная общественная организация ""Общество развития продуктивных инициатив"", тематическое отделение ""Территория передышки""",Пермь,5904075778.0,да
61,"Пермская региональная общественная организация ""Солнечный круг""",Пермь,5904206484.0,да
62,"Псковская региональная общественная благотворительная организация ""Росток""",Порхов Псковской области,6017009789.0,да
63,"Автономная некоммерческая зоозащитная организация ""Шанс""",Псков,6027999310.0,да
